drug,LD,date,p53,chk2,atr,chk1,atx,dnapk,bok,bim
doxorubicin,80,4/26/2016,2.721954997,3.514370093,1.346230772,-0.045101986,-1.096345212,-0.403896942,-0.869466125,1.039548193
doxorubicin,80,2/11/2013,3.625324094,3.028466895,1.3652556,-0.619466879,-1.811629137,-1.365817758,-1.025157962,1.523806042
doxorubicin,80,9/26/2012,3.823723548,3.358365999,1.567741646,-0.549572059,-2.150686096,-1.427677869,-0.961578626,1.401045512
doxorubicin,80,7/16/2012,3.258183453,3.421813156,1.227614664,-0.685412322,-1.208185,-0.887325776,-1.276103231,1.027846332
doxorubicin,79,11/23/2012,3.119094108,2.972997982,0.930596302,-0.438531922,-1.863263663,-0.975544828,-1.196705618,1.089146744
doxorubicin,79,12/20/2014,3.754566431,3.242429714,1.187103918,-0.470202364,-1.047504319,-1.290052721,-1.097035477,1.33004011
doxorubicin,79,10/17/2013,3.410933101,3.399560163,1.001570708,-0.857334771,-1.608187771,-1.147133137,-1.373816003,1.081388327
doxorubicin,79,12/17/2011,2.84305654,3.077304262,1.081048744,-0.513801472,-1.148523832,-1.082464543,-1.280780489,0.823270729
doxorubicin,78,4/29/2012,3.409569749,3.593198651,1.050127767,-0.567306342,-1.48997174,-1.119915002,-1.165422077,1.290380125
doxorubicin,78,11/22/2014,4.146119859,3.312369101,1.373953732,0.2056564,-1.162145448,-1.329449365,-1.746489254,1.510512552
doxorubicin,78,10/12/2015,2.97372201,2.775431101,0.941628221,-0.468039413,-0.852708979,-1.247909818,-1.424392495,1.357803641
doxorubicin,78,10/17/2014,3.441904736,2.955128585,1.150608534,-0.922145207,-1.180224327,-1.44595574,-1.05313074,1.377722942
doxorubicin,78,2/13/2014,3.479422384,3.332034702,1.431265961,-0.521837736,-1.498555764,-1.689783957,-1.390371778,1.06402046
doxorubicin,78,4/27/2012,3.149056726,3.187520164,1.19047656,-0.489550906,-1.714351477,-1.357838428,-0.982184274,0.997216979
doxorubicin,77,9/5/2013,3.208769137,3.30580843,1.029747343,-0.39739198,-0.868806086,-1.682049761,-1.305720169,0.895860879
doxorubicin,77,9/22/2014,2.980638353,3.135703721,1.158514796,-0.751203002,-1.73286544,-0.637217956,-0.630196722,1.101970237
doxorubicin,77,9/21/2013,3.346400382,3.34195515,1.620915765,-0.430584553,-1.715338595,-1.431639467,-1.648302969,1.158262084
doxorubicin,77,5/5/2012,3.050874825,3.547273926,1.123796567,-0.583730522,-1.37367036,-0.886575639,-0.976502236,1.124149827
doxorubicin,76,10/5/2015,3.278943228,3.09535795,1.320009248,-0.589188652,-0.763240637,-1.361959623,-1.70773836,1.212476207
doxorubicin,76,10/8/2015,3.020986583,2.740272338,1.124505789,-0.52526522,-0.651440295,-0.978131351,-1.397068226,1.369302265
doxorubicin,76,9/29/2012,3.073305543,2.915365519,1.27013763,-0.452413589,-1.858622461,-0.926229992,-1.186973108,1.311806057
doxorubicin,75,9/26/2013,3.496425826,2.767826558,0.649868556,-0.760066534,-1.492040569,-1.354963876,-1.658827739,1.247092862
doxorubicin,74,9/20/2014,2.863933297,2.504029487,1.010895776,-0.22692371,-1.673133274,-1.259438582,-1.023868842,1.218866919
doxorubicin,72,8/5/2013,2.792241436,2.656045599,0.995810466,0,-1.203974788,-1.428236997,-0.95594482,1.110998691
doxorubicin,71,9/22/2013,3.133855747,3.021695071,1.016301812,-0.813586876,-1.710493383,-1.631813273,-1.529603213,1.386372281
doxorubicin,70,9/11/2014,2.894841396,2.755241098,1.079866941,-0.706344051,-2.300431949,-0.827558147,-1.618800993,1.147426922
